-0.7004364747851799, 0.46, -0.42, 0.69
0.62, -0.37, 0.44, 0.53
0.38, -0.11, -0.62, 0.67
-0.05, 0.93, -0.6209891925207751, -0.41
-0.3704358004948559, -0.99, -0.7, -1.0
-0.33, 0.7876626828151397, -0.9758456716323778, -0.19
0.58, -0.8, 0.61, 0.33
-0.8, 0.6, 0.018606437780063823, 0.09
0.04, -1.0, 0.02, 0.47
-0.6279326638360561, -0.86, 0.5, -0.03
0.81, -0.99, -0.46, -0.41
-0.360161567620192, -0.11, 0.06169332986473963, 0.53
0.7294671893529151, -0.86, 0.9811342769649621, 0.8
0.56, 1.0, -0.76, 0.85
0.67, 0.09, -0.11, 0.24
-0.62, -0.91, -0.68, -0.77
-0.63, -0.20839436849862303, -0.4510952624923667, 0.87
-0.69, 0.09, -0.76, 0.85
0.67, -0.99, -0.46, -0.41
0.53, -0.26, 0.17, -0.8
-0.04717080039407634, 0.46, -0.4537603724604915, 0.69
-0.86, -0.47, -0.46, -0.41
-0.69, -0.99, 1.0, 0.69
0.04, 0.93, -0.7, -0.8429744298526487
-0.05, 0.6110081725749834, 0.35, 0.09
0.8929623961003184, -0.5, -0.68, -0.77
-0.63, 0.7018256173765796, -0.76, -0.19
-0.69, -0.22537011575493027, 1.0, 0.69
-0.86, -0.99, -0.46, -0.22596700254031704
