,POP,SEED,STEPS,AVERAGE_SPEED,RADIAL_VARIANCE,SCATTER,GROUP_ROTATION,ANGULAR_MOMENTUM,CONVEX_HULL,INVERSE_CONVEX_HULL,H0,H1,H0_MAX,H1_MAX
191,12,8,2501,0.16447555525408955,0.09271219680096372,0.010218560963623932,0.007908850667063837,0.0013167093847350376,3394.3135909817006,330.2054771744629,3.0,0.0,20.36199207305908,0.0
192,12,8,2501,0.2879390616191341,0.12646176696498665,0.01752037439264017,0.08536680298348279,0.013825259394911239,7612.640059633027,793.5845334777798,0.7,0.0,8.555988883972168,0.0
193,12,8,2501,0.22535884380119164,0.325639296863854,0.07233897147027715,-0.009469530801040989,-0.0007957647527420098,26345.09091798401,10863.117429954931,0.0,0.0,0.0,0.0
194,12,8,2501,0.20426631722983782,0.015072567867891467,0.004401969959546247,0.0013199267641754852,0.00015813590896793773,1520.3710737604467,322.7235703043727,2.0,0.0,15.957558059692383,0.0
195,12,8,2501,0.20426631722983782,0.015072567867891467,0.004401969959546247,0.0013199267641754852,0.00015813590896793773,1520.3710737604467,322.7235703043727,2.0,0.0,15.957558059692383,0.0
196,12,8,2501,0.5551436907556435,0.055384912555308176,0.009352486770267116,-0.31628017112818824,-0.04513397897827729,4976.240715797536,387.37248524647555,0.8,0.0,22.37555694580078,0.0
197,12,8,2501,0.7442239037406686,0.049749124932892005,0.012362926639620197,-0.4952783371785899,-0.06979520747676742,5400.711077364823,1814.034246851054,0.2,0.0,5.375240135192871,0.0
198,12,8,2501,0.8902947233192432,0.15443844035322685,0.033153025032110754,-0.4303295093309796,-0.11811259699666352,16019.911021187425,2559.5007520224112,0.5,0.0,21.399141311645508,0.0
199,12,8,2501,1.0381043684584395,0.28895845830623407,0.0574025214074939,-0.5482047283310638,-0.15493939638807766,24706.110953472333,8017.743530974494,0.6,0.0,12.281828689575196,0.0
200,12,8,2501,1.2089687741111843,0.1157903786715133,0.05443945776676573,-0.6118191590744148,-0.17849737321117648,21913.643898444177,9211.807704948335,1.0,0.0,113.53190460205079,0.0
201,12,8,2501,1.016736208901899,0.03911320027524913,0.009390030563419272,-0.669700815031797,-0.0780455682915698,3820.7671756113214,1090.4034929381246,1.7,0.0,21.59121799468994,0.0
202,12,8,2501,1.086058948377526,0.057390442488949894,0.015489175688244552,-0.7134367983161877,-0.09721238568874664,6658.48623058311,2327.2634959044544,0.7,0.0,11.38752784729004,0.0
203,12,8,2501,1.1321212667844487,0.03476238924844359,0.037099574224187436,-0.8198013146793415,-0.16463760748365389,11750.586976017825,7919.581478771751,0.0,0.0,0.0,0.0
204,12,8,2501,0.5462586620663573,0.013197204645921721,0.004219120590785008,-0.3450052618432205,-0.029084905819916133,1999.7425226350283,431.7663086798997,3.0,0.0,18.057981109619142,0.0
