,SEED,TOTAL_STEPS,CL0,CR0,CL1,CR1,RADIAL_VARIANCE,RADIUS
900,1,4001,-1.0,0.4,-0.2,0.8,0.009646098914702118,18.93569250761744
901,1,4001,-1.0,0.4,-0.2,1.0,0.007490419189463504,18.376009331777155
902,1,4001,-1.0,0.4,0.0,-1.0,0.9622950153360103,237.88221682979423
903,1,4001,-1.0,0.4,0.0,-0.8,0.8777722842451995,227.32345981068428
904,1,4001,-1.0,0.4,0.0,-0.6,0.8901007526126148,229.332726070219
905,1,4001,-1.0,0.4,0.0,-0.4,0.8067617984034355,227.95045761775748
906,1,4001,-1.0,0.4,0.0,-0.2,0.8772315687445029,227.36594972767386
907,1,4001,-1.0,0.4,0.0,0.0,0.38655792598837535,160.87649502976842
908,1,4001,-1.0,0.4,0.0,0.2,0.040771142885378586,69.25198758419046
909,1,4001,-1.0,0.4,0.0,0.4,0.03185785729271125,60.592347219059135
910,1,4001,-1.0,0.4,0.0,0.6,0.006395927242806716,17.773459675894934
911,1,4001,-1.0,0.4,0.0,0.8,0.009247317451083337,19.252982233107474
912,1,4001,-1.0,0.4,0.0,1.0,0.006792299930946422,18.52692718974347
913,1,4001,-1.0,0.4,0.2,-1.0,0.7016608078133035,237.07357015385978
914,1,4001,-1.0,0.4,0.2,-0.8,0.7437421814880943,234.24421474701106
915,1,4001,-1.0,0.4,0.2,-0.6,0.9112435668267866,229.1882225403884
916,1,4001,-1.0,0.4,0.2,-0.4,0.9022948121944219,223.29283918033047
917,1,4001,-1.0,0.4,0.2,-0.2,0.7467397772222085,222.05109245345608
918,1,4001,-1.0,0.4,0.2,0.0,0.02701434354052201,39.85758337791001
919,1,1046,-1.0,0.4,0.2,0.2,0.001997089180169145,43.889872084581214
920,1,4001,-1.0,0.4,0.2,0.4,0.13776241373860426,129.6440404301869
921,1,4001,-1.0,0.4,0.2,0.6,0.5265122958867023,81.72366882787087
922,1,4001,-1.0,0.4,0.2,0.8,0.17075215440841324,39.12943975661131
923,1,4001,-1.0,0.4,0.2,1.0,0.07434095166219784,30.322415520039836
924,1,4001,-1.0,0.4,0.4,-1.0,0.1431240584887429,306.5265304858994
925,1,4001,-1.0,0.4,0.4,-0.8,0.8714229946816826,234.3977047901965
926,1,4001,-1.0,0.4,0.4,-0.6,0.9629931079805557,219.9925556696335
927,1,4001,-1.0,0.4,0.4,-0.4,0.8649622143952039,233.34540634127538
928,1,4001,-1.0,0.4,0.4,-0.2,0.899941860819138,191.91096342645926
929,1,2807,-1.0,0.4,0.4,0.0,0.0019914951312452103,35.92079667993793
930,1,1133,-1.0,0.4,0.4,0.2,0.001986627124061241,42.14091103609233
931,1,751,-1.0,0.4,0.4,0.4,0.001992987127184114,44.00305324285029
932,1,4001,-1.0,0.4,0.4,0.6,0.007642175482576433,26.60561978227801
933,1,4001,-1.0,0.4,0.4,0.8,0.05574565278163886,140.48017767122658
934,1,4001,-1.0,0.4,0.4,1.0,0.2374583869404767,136.17164118621895
935,1,4001,-1.0,0.4,0.6,-1.0,0.7829746164231733,233.19801493133292
936,1,4001,-1.0,0.4,0.6,-0.8,0.9626638047680243,260.51880287139227
937,1,4001,-1.0,0.4,0.6,-0.6,0.7709469489939038,228.47781203371935
938,1,4001,-1.0,0.4,0.6,-0.4,0.7817058108991553,213.29255107105615
939,1,4001,-1.0,0.4,0.6,-0.2,0.35530154302652905,149.41607988974306
940,1,2975,-1.0,0.4,0.6,0.0,0.0019940750430958,38.36551177058814
941,1,1081,-1.0,0.4,0.6,0.2,0.001999089117401287,42.70173243508918
942,1,865,-1.0,0.4,0.6,0.4,0.001997600958535863,48.32347794004866
943,1,562,-1.0,0.4,0.6,0.6,0.0019680462831754954,40.391307579201914
944,1,987,-1.0,0.4,0.6,0.8,0.0019986092957145025,33.7891390072046
945,1,4001,-1.0,0.4,0.6,1.0,0.008206267690796602,30.306003883943394
946,1,4001,-1.0,0.4,0.8,-1.0,0.8694708197241683,232.747438099395
947,1,4001,-1.0,0.4,0.8,-0.8,0.6862880907062894,231.96368479630044
948,1,4001,-1.0,0.4,0.8,-0.6,1.0615152358820108,229.71647005555852
949,1,4001,-1.0,0.4,0.8,-0.4,0.7160170261515794,203.68305772230414
950,1,3676,-1.0,0.4,0.8,-0.2,0.0019955985514414415,27.351871964692464
951,1,1606,-1.0,0.4,0.8,0.0,0.0019986637046227086,37.34594078104398
952,1,1003,-1.0,0.4,0.8,0.2,0.0019873369053364184,43.6724107482391
953,1,712,-1.0,0.4,0.8,0.4,0.001994745257387715,42.463333115272505
954,1,646,-1.0,0.4,0.8,0.6,0.0019836090501925314,43.12995505862305
955,1,488,-1.0,0.4,0.8,0.8,0.0019890716784843666,47.316555234904484
956,1,937,-1.0,0.4,0.8,1.0,0.0019971340039755554,46.55289555150265
957,1,4001,-1.0,0.4,1.0,-1.0,0.8058158667514911,226.89466483558638
958,1,4001,-1.0,0.4,1.0,-0.8,0.9361587995745666,227.651718420743
959,1,4001,-1.0,0.4,1.0,-0.6,0.8042855001637454,217.6024958512653
960,1,4001,-1.0,0.4,1.0,-0.4,0.2608549023495757,150.27418681659893
961,1,3254,-1.0,0.4,1.0,-0.2,0.001992270095180917,28.737343454439355
962,1,1118,-1.0,0.4,1.0,0.0,0.001995982092883755,35.67449758405898
963,1,1011,-1.0,0.4,1.0,0.2,0.0019993870368083945,40.71663684044115
964,1,927,-1.0,0.4,1.0,0.4,0.0019833715144547816,37.856882891055605
965,1,698,-1.0,0.4,1.0,0.6,0.001976412375767896,43.5629932263272
966,1,428,-1.0,0.4,1.0,0.8,0.001987830033076405,44.36294324081252
967,1,468,-1.0,0.4,1.0,1.0,0.0019908465172473167,48.63605627622296
968,1,4001,-1.0,0.6,-1.0,-1.0,1.7009858504232833,247.08347903690733
969,1,4001,-1.0,0.6,-1.0,-0.8,0.8186032080545513,246.78704048084288
970,1,4001,-1.0,0.6,-1.0,-0.6,0.7674734278758604,243.14874895871787
971,1,4001,-1.0,0.6,-1.0,-0.4,0.6143513977973429,247.22242948190018
972,1,4001,-1.0,0.6,-1.0,-0.2,0.8344325500525345,235.35852675492168
973,1,4001,-1.0,0.6,-1.0,0.0,0.6721520591764946,237.4818901026066
974,1,4001,-1.0,0.6,-1.0,0.2,0.6821299380401203,223.54291168122256
975,1,4001,-1.0,0.6,-1.0,0.4,0.7204251559199365,210.1507545585607
976,1,4001,-1.0,0.6,-1.0,0.6,0.39631484706314457,163.29562708447122
977,1,4001,-1.0,0.6,-1.0,0.8,0.20730267460259036,124.8552923579171
978,1,4001,-1.0,0.6,-1.0,1.0,0.03991963747042981,93.94679632560427
979,1,4001,-1.0,0.6,-0.8,-1.0,0.9104023762003943,247.19372413553293
980,1,4001,-1.0,0.6,-0.8,-0.8,0.22235091390363892,308.845580197156
981,1,4001,-1.0,0.6,-0.8,-0.6,0.5152570618401772,255.60531371653138
982,1,4001,-1.0,0.6,-0.8,-0.4,0.6728923246115204,240.7776887631553
983,1,4001,-1.0,0.6,-0.8,-0.2,0.6724375794024172,237.70564442982933
984,1,4001,-1.0,0.6,-0.8,0.0,0.8683914763609226,227.31369914492862
985,1,4001,-1.0,0.6,-0.8,0.2,0.7520808239504124,217.65082677755487
986,1,4001,-1.0,0.6,-0.8,0.4,0.5761616910097819,184.1121312980027
987,1,4001,-1.0,0.6,-0.8,0.6,0.2553206951302186,132.56334148860785
988,1,4001,-1.0,0.6,-0.8,0.8,0.13852979437530707,100.80848957950614
989,1,4001,-1.0,0.6,-0.8,1.0,0.053552588855776,100.48920517683469
990,1,4001,-1.0,0.6,-0.6,-1.0,0.9788554226257602,244.19309814583093
991,1,4001,-1.0,0.6,-0.6,-0.8,0.9362323555297539,242.69419766185308
992,1,4001,-1.0,0.6,-0.6,-0.6,0.509065111838546,291.4161579870484
993,1,4001,-1.0,0.6,-0.6,-0.4,0.9101915123384287,237.57494085654423
994,1,4001,-1.0,0.6,-0.6,-0.2,0.6845834657013554,229.52900346281464
995,1,4001,-1.0,0.6,-0.6,0.0,0.9220325198941458,222.09093073099825
996,1,4001,-1.0,0.6,-0.6,0.2,0.7468768710947739,202.93205177244946
997,1,4001,-1.0,0.6,-0.6,0.4,0.2632428943054154,155.4353183565246
998,1,4001,-1.0,0.6,-0.6,0.6,0.15170969649614838,120.3578154930028
999,1,4001,-1.0,0.6,-0.6,0.8,0.033793523870340805,87.24275638474899
1000,1,4001,-1.0,0.6,-0.6,1.0,0.055322129609577365,100.81472038937727
1001,1,4001,-1.0,0.6,-0.4,-1.0,0.5837760863014294,246.34851808536624
1002,1,4001,-1.0,0.6,-0.4,-0.8,0.6629216392278954,245.06299718019218
1003,1,4001,-1.0,0.6,-0.4,-0.6,0.8103440672870126,243.8240575357943
1004,1,4001,-1.0,0.6,-0.4,-0.4,0.20017606328846246,303.0149199608775
1005,1,4001,-1.0,0.6,-0.4,-0.2,0.6897133215746006,234.88615363889846
1006,1,4001,-1.0,0.6,-0.4,0.0,0.7610703262863743,221.11585060392724
1007,1,4001,-1.0,0.6,-0.4,0.2,0.5142437662404873,176.11304512180917
1008,1,4001,-1.0,0.6,-0.4,0.4,0.1828844307522712,130.16799032445846
1009,1,4001,-1.0,0.6,-0.4,0.6,0.05985104381658263,102.31882484292375
1010,1,4001,-1.0,0.6,-0.4,0.8,0.03545143817076422,69.37015178365064
1011,1,4001,-1.0,0.6,-0.4,1.0,0.008329223916250857,18.027781922881697
1012,1,4001,-1.0,0.6,-0.2,-1.0,0.8063663776883615,239.42038886508573
1013,1,4001,-1.0,0.6,-0.2,-0.8,0.7160159282975052,238.04215956628477
1014,1,4001,-1.0,0.6,-0.2,-0.6,0.8916145296310379,231.26891885541144
1015,1,4001,-1.0,0.6,-0.2,-0.4,0.7046807119102481,234.972152515794
1016,1,4001,-1.0,0.6,-0.2,-0.2,0.9859701178198104,255.73883657139137
1017,1,4001,-1.0,0.6,-0.2,0.0,0.7884411004289056,213.56852352373846
1018,1,4001,-1.0,0.6,-0.2,0.2,0.21387037677473691,138.4093058302962
