,identifier,controller_0,controller_1,controller_2,controller_3,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6
66,147,-1.4112920749940172,-0.7422485188549011,9.64665185544436,-0.8887487733306634,0.7828357420492886,0.12563726730486457,0.06111985145073124,0.10088344193289572,0.35009624529341193,2904.0,0.052895163390489185
67,149,9.939993986073773,-0.8915906563968092,6.611831798147119,-0.8418160645576913,2.2414109620766736,0.11066253315809046,0.6079338466202584,0.3094606651099572,0.17601443796598787,10.0,0.44992740399842424
68,150,5.863990227881057,-0.9019165054257394,1.8607960619860742,-0.00029361895040902475,0.7008125056353676,0.10446618307882448,0.06420485206819641,0.02302627120895801,0.6056077079969607,1400.0,0.03103165906206127
69,151,-7.367871738988874,-0.5157848207280473,7.424402205499685,0.20041547556256245,0.8132457573461026,-0.00035282833003985804,0.061461848021037345,0.018900488411709968,-0.06106866378269578,3153.0,0.023293898834092813
70,152,-6.465399792270354,-0.4487875213093726,-1.3094159259067273,-0.5158600546424457,0.9662470200920545,0.1401388702695428,0.06420313667796589,0.020615122826511404,0.8757386747052035,1930.0,0.024145488996304684
71,155,7.957718197145065,-0.9390327786241384,0.7950731428557578,0.5306255134086661,1.0499705732466789,0.21638036976094657,0.04371268679249174,0.04238335902236087,1.0288426313627588,785.0,0.054567755368694584
72,160,-4.209109028317215,-0.7559999968754629,-6.858993902803547,-0.6001514492086759,1.1278471521892628,0.25142767617317907,0.5828915060405249,0.3582295173403012,0.35821237524608385,0.0,0.5229105526234897
73,162,-6.192185108550561,-0.0884561213531394,-1.0199378663940961,-0.14402277629223592,1.1597603849593299,0.2510955504311126,0.17736835058621914,0.055393059200063356,0.9634604010085408,975.0,0.09062540172154437
74,163,5.458924617560175,-0.7071188337232517,0.8308604225892013,-0.7236558312884398,0.7891852925748246,0.3210155256929591,0.6656765103739042,0.4275216955130924,0.46403575228356686,0.0,0.5702926742569646
75,166,-9.338527061065102,-0.32014493697642576,-4.347465881791964,-0.998998851552592,1.6196069676913405,0.2173189638131891,0.05813144419585133,0.01952820780607458,1.459886324267061,1907.0,0.022993553574677153
76,167,-9.842018197472811,-0.10757105229869035,0.6664691722249505,-0.1745319879677587,1.3772952287429698,0.2708112667513143,0.1659113791010525,0.052174123354254885,1.0149779088597064,1117.0,0.053401304200626346
77,168,7.582203410765396,0.1426380397526772,5.679283074386163,-0.8629094094298306,0.5656795987970442,-0.08691826972324752,0.19000163150179258,0.05260205595110138,-0.18431880751097618,1918.0,0.06642429301080922
78,169,-6.381007663676552,0.5426171392180599,3.772944432768537,-0.9515151582147927,0.7670526659420805,0.09462046535491296,1.1663830844723295,0.40724100671673247,0.20123327638049573,345.0,0.4200911323523382
79,170,4.965253458911649,-0.7007059202628536,3.3733353389378684,-0.4337520076417811,1.0577453065184357,0.013906559233382998,0.29824135974250493,0.09046439912019402,0.03453463065936848,0.0,0.11540529477980838
80,173,-3.479572702734457,0.3913496520215354,5.735205554700773,-0.9899430370625852,1.03624609851613,0.06072463254792865,0.446924042361522,0.1318478401984901,0.18135621996371665,0.0,0.17048978644189686
81,175,-7.172971514729046,-0.4890692039007367,6.0412106587636405,-0.6605352327531937,1.1130959475221784,0.09647645115119348,0.061441661251880525,0.019894098325064523,0.5737526088632511,3009.0,0.024180533546317075
82,178,6.933156407500132,0.35884635587573177,8.651631442828275,0.396467837832966,1.176351172458423,-0.05919126878463779,0.15959747603062052,0.09966455149813766,-0.12356077923902614,2288.0,0.12715347703992685
83,181,6.738009085891051,-0.7643810885216875,-4.351313123147726,0.5237130982429414,1.331718774479764,0.03593738560208147,0.2771369382410077,0.2531358754183641,0.0733508306308145,0.0,0.3668398350733436
84,185,1.070005381996153,-0.5263636411817265,-4.314428147553286,0.5266179490255436,0.4645202595489962,-0.06748318547874724,0.9426890105332331,0.2936592821137109,-0.1409983473714266,359.0,0.44445342984373165
85,188,-2.763733332800915,0.320910757466359,3.8039845614766277,-0.5610937136618308,0.7802954344674388,0.024303396237554824,0.37365773804047536,0.11912946462910984,0.06993370315974735,101.0,0.1475288091714241
86,190,4.641525607316637,0.8344931749365241,0.03227180995221346,0.781040005321475,0.9860939926163169,-0.0011900734454580555,0.23210291763253935,0.3841479300550011,0.005353665514100558,0.0,0.5326550745147075
87,191,3.8594577202387703,-0.46037442468053325,0.060533828645290555,-0.40370611141110246,0.7060326705179731,0.16342344533681433,0.40793285500153104,0.3605017551813403,0.24542165532473284,0.0,0.49418398905570426
88,192,6.190273205387296,-0.4502476728581801,7.158817236849928,-0.32748566169937665,1.50074277869818,0.144460113208412,0.15810968516180127,0.037621563800821656,0.7969655957587425,1218.0,0.03599131832086652
89,195,3.987905811451149,0.34184994865353646,-3.1526027300809423,0.27448212845773834,0.49035373165309276,-0.10759334879563034,0.41740729011785704,0.3129707119166391,-0.19109454997549907,120.0,0.4131900301442753
90,196,8.73044752189319,-0.315094065878434,4.577644999476145,0.1942586982874801,1.7478653664077635,0.35774537697187375,0.00012567520030337727,0.04196066833711155,1.7463039953600024,769.0,0.060331181231063145
91,197,4.997838093520073,-0.981827927797768,2.8621509869767037,-0.030927539511228508,0.806570497638935,0.0967273609373164,0.0369739963440383,0.01930071940448417,0.660241012327028,1796.0,0.02767936713735599
92,199,8.998142658596027,-0.3403495688966023,-0.3073202047248591,0.1374189879280654,1.0676973999102544,0.1603192535522269,0.06154288501760892,0.030347563006383364,0.9188187675903656,572.0,0.04351646494469282
93,200,-3.29593351819343,0.6473388768856692,4.266555778791679,-0.5774109240977741,0.597471710860258,0.01755030902447898,0.26247454057237296,0.0775351981762536,0.0775774050535276,1361.0,0.07477175591847454
94,203,9.325477529481649,0.5341133063502359,8.526917040087255,-0.9688272058385115,2.2737232970422547,-0.6123717499841296,4.523026891263055e-05,0.07340824335076596,-2.260097914234683,25.0,0.10560208939890295
95,205,-4.049881509333726,-0.05701306439874387,5.624452529727513,0.19386727706720008,0.6870042695714633,0.00256673450247314,0.30154722661760325,0.1912637500887715,0.016425012938821138,1754.0,0.2103699549509786
