1694462319.5009863	9	[0.20967742524095279, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.08306441121603303, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.18710091318196231, 0.1141680310568064, 0.08196585403988943, 0.08196585403988943, 0.18710091318196231, 0.059879984421366106, 0.2366130834776229, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.059879984421366106, 0.18710091318196231, 0.1306973644950813, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.0653394906330308, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.059879984421366106, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.08196585403988943, 0.08196585403988943, 0.03348483167694616, 0.18710091318196231, 0.18710091318196231, 0.05947539912429356, 0.20967742524095279, 0.18710091318196231, 0.08196585403988943, 0.044039972481901724, 0.08196585403988943]
1694462353.4938405	10	[0.2366130834776229, 0.20967742524095279, 0.20967742524095279, 0.18710091318196231, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.06029303686466703, 0.08196585403988943, 0.059879984421366106, 0.08196585403988943, 0.022176823486015906, 0.015292181165798002, 0.18710091318196231, 0.18710091318196231, 0.08196585403988943, 0.2366130834776229, 0.20545572540729684, 0.18710091318196231, 0.2366130834776229, 0.08306441121603303, 0.07602515647178132, 0.08196585403988943, 0.18710091318196231, 0.1194274753127893, 0.18710091318196231, 0.20967742524095279, 0.18710091318196231, 0.18710091318196231, 0.07464797791049027, 0.18710091318196231, 0.08196585403988943, 0.059879984421366106, 0.08196585403988943, 0.08225882127167528, 0.18710091318196231, 0.20967742524095279, 0.08196585403988943, 0.20967742524095279, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.059879984421366106, 0.059879984421366106, 0.20967742524095279, 0.18710091318196231, 0.16374575880060194, 0.20967742524095279, 0.18710091318196231]
1694462388.2245936	11	[0.2366130834776229, 0.2366130834776229, 0.2366130834776229, 0.20967742524095279, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.08196585403988943, 0.2366130834776229, 0.05582095056259628, 0.18710091318196231, 0.20967742524095279, 0.20967742524095279, 0.2366130834776229, 0.029595206861004253, 0.18710091318196231, 0.1316339020907794, 0.18710091318196231, 0.11299932003381463, 0.2366130834776229, 0.18710091318196231, 0.18710091318196231, 0.18710091318196231, 0.1821016793746112, 0.04414773337958999, 0.20967742524095279, 0.3086232345358386, 0.20967742524095279, 0.18710091318196231, 0.18710091318196231, 0.2366130834776229, 0.18710091318196231, 0.182630107344825, 0.16213848479344906, 0.00351531413432149, 0.2366130834776229, 0.15772858664157763, 0.18710091318196231, 0.2366130834776229, 0.20545572540729684, 0.20967742524095279, 0.2366130834776229, 0.18710091318196231, 0.1810793269487735, 0.20967742524095279, 0.08196585403988943, 0.11307339948976247, 0.20967742524095279, 0.08306441121603303]
1694462425.0958335	12	[0.3086232345358386, 0.2366130834776229, 0.2366130834776229, 0.2366130834776229, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.10684217102550042, 0.029595206861004253, 0.20967742524095279, 0.11608064713291932, 0.1810793269487735, 0.15312543065318074, 0.06268586379419727, 0.1821016793746112, 0.2366130834776229, 0.18710091318196231, 0.2366130834776229, 0.20967742524095279, 0.2784504192938183, 0.2366130834776229, 0.20967742524095279, 0.2366130834776229, 0.08196585403988943, 0.14976777779206774, 0.18986126727689678, 0.229783578568999, 0.2366130834776229, 0.2366130834776229, 0.20967742524095279, 0.0733805980525628, 0.0049996148812674335, 0.17869168433818228, 0.1821016793746112, 0.20967742524095279, 0.2366130834776229, 0.07512866531604889, 0.2366130834776229, 0.14976777779206774, 0.2366130834776229, 0.2366130834776229, 0.20967742524095279, 0.20967742524095279, 0.20967742524095279, 0.14560836568404256, 0.2334908855062865, 0.25297643224767263, 0.08196585403988943, 0.2366130834776229, 0.20967742524095279]
1694462462.3001032	13	[0.3086232345358386, 0.2784504192938183, 0.25297643224767263, 0.2366130834776229, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.2366130834776229, 0.20967742524095279, 0.2784504192938183, 0.3086232345358386, 0.3086232345358386, 0.2366130834776229, 0.2366130834776229, 0.20967742524095279, 0.2366130834776229, 0.20967742524095279, 0.25297643224767263, 0.060063197241203015, 0.25297643224767263, 0.17807590697570153, 0.2366130834776229, 0.2366130834776229, 0.2366130834776229, 0.2366130834776229, 0.029595206861004253, 0.24781466486840797, 0.2366130834776229, 0.13748898311142466, 0.2366130834776229, 0.2366130834776229, 0.20967742524095279, 0.3086232345358386, 0.2366130834776229, 0.17653604750370055, 0.2366130834776229, 0.2366130834776229, 0.25297643224767263, 0.2366130834776229, 0.08196585403988943, 0.03543344441467977, 0.25297643224767263, 0.08196585403988943, 0.11299932003381463, 0.0262345356576974, 0.1821016793746112, 0.229783578568999, 0.25297643224767263, 0.2366130834776229]
1694462500.1217785	14	[0.3086232345358386, 0.3086232345358386, 0.3086232345358386, 0.3086232345358386, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.21434446852322553, 0.344477396423969, 0.1871177134210259, 0.08196585403988943, 0.202601734480518, 0.2068298314872019, 0.3086232345358386, 0.029474372531853255, 0.19573830509264634, 0.16255880713818716, 0.07441268476175134, 0.25297643224767263, 0.2366130834776229, 0.08196585403988943, 0.2366130834776229, 0.2366130834776229, 0.25297643224767263, 0.25297643224767263, 0.0514073039667563, 0.3113081268574043, 0.2513983811062631, 0.25297643224767263, 0.16524482065026203, 0.10332936785022007, 0.14976777779206774, 0.2366130834776229, 0.3086232345358386, 0.20411187509373885, 0.16255880713818716, 0.3086232345358386, 0.3086232345358386, 0.3610242984711921, 0.057436412684698235, 0.2366130834776229, 0.30778293814859237, 0.09241865358829349, 0.25297643224767263, 0.0988855147768517, 0.08196585403988943, 0.3086232345358386, 0.25297643224767263, 0.3086232345358386, 0.2366130834776229]
1694462537.5554929	15	[0.3610242984711921, 0.344477396423969, 0.3113081268574043, 0.3086232345358386, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.03490447683857534, 0.3113081268574043, 0.2118601418815388, 0.3610242984711921, 0.10714547857754964, 0.2229418797753676, 0.029105043703209987, 0.2784504192938183, 0.026235906984839463, 0.029105043703209987, 0.027513043791560277, 0.336131074498741, 0.08057449820087681, 0.19661552696222617, 0.15793301992329944, 0.3113081268574043, 0.3610242984711921, 0.03490447683857534, 0.3086232345358386, 0.08196585403988943, 0.05675963946509144, 0.344477396423969, 0.08196585403988943, 0.25297643224767263, 0.029105043703209987, 0.06529449077158367, 0.19874217207993028, 0.03490447683857534, 0.3113081268574043, 0.024688120175970663, 0.3086232345358386, 0.02287006792902757, 0.25297643224767263, 0.11886870379814851, 0.2784504192938183, 0.08196585403988943, 0.3086232345358386, 0.3086232345358386, 0.08196585403988943, 0.3596213958751986, 0.3056794074615601, 0.22899108878315022]
1694462575.5955052	16	[0.3610242984711921, 0.3610242984711921, 0.3610242984711921, 0.3596213958751986, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.05193923336806516, 0.28473482957212815, 0.3596213958751986, 0.3610242984711921, 0.08196585403988943, 0.19043033338811988, 0.19661552696222617, 0.024458757962214306, 0.3056794074615601, 0.19661552696222617, 0.3596213958751986, 0.28041896696114743, 0.3610242984711921, 0.029105043703209987, 0.336131074498741, 0.058230767973530106, 0.12102133249119262, 0.3610242984711921, 0.2186219753643528, 0.0988855147768517, 0.3086232345358386, 0.3596213958751986, 0.3610242984711921, 0.08196585403988943, 0.3596213958751986, 0.19961328519548238, 0.25297643224767263, 0.3086232345358386, 0.3610242984711921, 0.0988855147768517, 0.04277928088961114, 0.3113081268574043, 0.3113081268574043, 0.36060589861994463, 0.30496452033461763, 0.2229418797753676, 0.03490447683857534, 0.08196585403988943, 0.018722087967917855, 0.2809311913601896, 0.3610242984711921, 0.329095956514432, 0.3610242984711921]
1694462612.7738326	17	[0.3610242984711921, 0.3610242984711921, 0.3610242984711921, 0.3610242984711921, 0.08306441121603303, 0.059879984421366106, 0.015317374844660336, 0.059879984421366106, 0.08424679302231908, 0.3596213958751986, 0.08196585403988943, 0.21439189532185254, 0.3610242984711921, 0.3113081268574043, 0.04792673386792279, 0.3610242984711921, 0.329095956514432, 0.3297266835652668, 0.3610242984711921, 0.3596213958751986, 0.08196585403988943, 0.3596213958751986, 0.1564508600359571, 0.017184817409222064, 0.3622190223895495, 0.32195982820639246, 0.24644492106764826, 0.202601734480518, 0.3610242984711921, 0.017184817409222064, 0.03490447683857534, 0.3606118100138588, 0.27587303065712443, 0.3610242984711921, 0.3000890473352089, 0.04132545652139863, 0.3610242984711921, 0.3610242984711921, 0.2784504192938183, 0.3610242984711921, 0.3610242984711921, 0.36060589861994463, 0.029105043703209987, 0.36254013807348373, 0.3596213958751986, 0.08196585403988943, 0.3596213958751986, 0.3596213958751986, 0.3398829815113441, 0.3596213958751986]
1694462649.9478674	18	[0.36254013807348373, 0.3622190223895495, 0.3610242984711921, 0.3610242984711921, 0.004067092393380989, 0.059879984421366106, 0.059879984421366106, 0.059879984421366106, 0.3610242984711921, 0.04893202500944227, 0.3606118100138588, 0.06954386108233679, 0.18076082234431723, 0.016227586725168663, 0.2627562283751048, 0.03490447683857534, 0.08196585403988943, 0.360765662539421, 0.3610242984711921, 0.051178719297075514, 0.3610242984711921, 0.11885581952695146, 0.3610242984711921, 0.17359117902887644, 0.25552202933373946, 0.050861445865634014, 0.36060589861994463, 0.0038862918376363353, 0.12464481542471151, 0.17984015338869064, 0.36060589861994463, 0.3610242984711921, 0.27587303065712443, 0.3610242984711921, 0.3596213958751986, 0.039213989871413, 0.08424679302231908, 0.3610242984711921, 0.017184817409222064, 0.08424679302231908, 0.3610242984711921, 0.03666395400281097, 0.11831934102144637, 0.3596213958751986, 0.3622190223895495, 0.3610242984711921, 0.3610242984711921, 0.06035831074103348, 0.2594380287222937, 0.08196585403988943]
